Sr No,UDISE,Area,District,College Name,College Type,Choice Code,Stream,Medium,Management Type,Intake,Total Fee,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,Management,Inhouse,General
58,27211003309,NAVI MUMBAI-URC1 (272110),THANE,"YASHWANTRAO CHAVAN JR. COLLEGE OF ARTS, SCIENCE & COMMERCE, KOPARKHAIRANE , Plot no. 23, Sector-15, Near D-Mart, Koparkhairane, Navi Mumbai ",Co-Ed,MU6407CNE,Commerce,English,Private Sanstha,160,14000,,,,,,,,,,,,,
59,27211004705,NAVI MUMBAI-URC1 (272110),THANE,"FATHER AGNEL ENG SEC , SECTOR 9A VASHI NAVI MUMBAI",Co-Ed,MU6422CFE,Commerce,English,Private Sanstha,160,42042,,,,,,,,,,,,,431
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
